name,price,rating,review_count,images,highlights,description,specification,features,sub_category,category
SEL2870,"Rs. 34,9901",4.0,46.0,"['https://www.sony.co.in/image/fd6df2f58083e52631a23154639f3571?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/aedfc495581f0794097a26b288e89958?fmt=png-alpha&wid=676&hei=400']",FE 28–70 mm F3.5–5.6 OSS,https://www.sony.co.in/electronics/camera-lenses/sel2870/buy,"{'Minimum focus distance': '0.3–0.45 m (0.99–1.48 ft)', 'Maximum Magnification ratio (x)': '0.19x', 'Filter Diameter (mm)': '55 mm', 'Weight': '295 g (10.5 oz)'}","['Lightweight, compact 35 mm Full Frame standard zoom lens ', '28–70 mm zoom range and F3.5–5.6 aperture ', 'Built-in Optical SteadyShot™ image stabilisation ', '7-blade circular aperture for beautiful defocusing ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL35F28Z,"Rs. 57,9901",5.0,34.0,"['https://www.sony.co.in/image/34da94e2c145e045d9ee82f5c0771efc?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/3f63d4a6b0e1dcb96e03089b2d0a1b69?fmt=png-alpha&wid=676&hei=400']",Sonnar T* FE 35 mm F2.8 ZA,https://www.sony.co.in/electronics/camera-lenses/sel35f28z/buy,"{'Minimum focus distance': '0.35 m (1.15 ft)', 'Maximum Magnification ratio (x)': '0.12x', 'Filter Diameter (mm)': '49 mm', 'Weight': '120 g (4.3 oz)'}","['Zeiss® 35 mm full-frame prime lens ', 'Bright F2.8 maximum aperture ', 'ZEISS® T* anti-reflective coating minimises flare ', 'Circular 7-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL2470GM,"Rs. 166,9901",4.5,77.0,"['https://www.sony.co.in/image/e648cced002ba9b3478f98dfbf1a858a?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/dea6e5f2a55fef1c75ffeab03a6402ef?fmt=png-alpha&wid=676&hei=400']",FE 24-70 mm F2.8 GM,https://www.sony.co.in/electronics/camera-lenses/sel2470gm/buy,"{'Minimum focus distance': '0.38 m', 'Maximum Magnification ratio (x)': '0.24 x', 'Filter Diameter (mm)': '82 mm', 'Weight': '886 g'}","['Premium G Master Series Mid-range telephoto prime ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Direct Drive SSM for quiet, highly precise focus lens control ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL1224G,"Rs. 151,9901",4.5,13.0,"['https://www.sony.co.in/image/0cf5566dae8978ef89e6a9021e93c50d?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/83ea50bd5c28acd054d63b1fcbcd2a52?fmt=png-alpha&wid=676&hei=400']",FE 12-24mm F4 G,https://www.sony.co.in/electronics/camera-lenses/sel1224g/buy,"{'Minimum focus distance': '0.28 m (0.92 ft)', 'Maximum Magnification ratio (x)': '0.14', 'Filter Diameter (mm)': '- (not attachable)', 'Weight': '565 g (20 oz)'}","['G Lens ultra-wide-angle zoom lens ', 'Linear motor for agile, highly precise focus lens control ', 'Direct Drive SSM for quiet, highly precise focus lens control ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Dust and moisture-resistant design2 ']",E-mount,Lenses
SEL90M28G,"Rs. 65,9901",5.0,120.0,"['https://www.sony.co.in/image/cb77677897b3220ef7af39a16c92ca0d?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/f20117dab2fd6e3a9cc421f6592e437f?fmt=png-alpha&wid=676&hei=400']",FE 90 mm F2.8 Macro G OSS,https://www.sony.co.in/electronics/camera-lenses/sel90m28g/buy,"{'Minimum focus distance': '0.28 m (0.92 ft)', 'Maximum Magnification ratio (x)': '1.0x', 'Filter Diameter (mm)': '62 mm', 'Weight': '602 g (21.3 oz)'}","['Renowned G Lens bokeh ', 'Direct Drive DDSSM for quiet, highly precise focus lens control ', 'Circular aperture for smooth defocusing effect ', 'Built-in image stabilisation ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL18200,"Rs. 62,9901",5.0,9.0,['https://www.sony.co.in/image/df785351f838a3a52464ed54262ee817?fmt=png-alpha&wid=676&hei=400'],E 18–200 mm F3.5–6.3 OSS,https://www.sony.co.in/electronics/camera-lenses/sel18200/buy,"{'Minimum focus distance': '0.3 (Wide)–0.5 m (Tele) (0.99 [Wide])–1.64 ft [Tele])', 'Maximum Magnification ratio (x)': '0.35 x', 'Filter Diameter (mm)': '67 mm', 'Weight': '524 g (18.5 oz)'}","['Telephoto zoom lens with 11x magnification range ', 'Wide zoom range for all-purpose shooting ', 'Optical SteadyShot™ image stabilisation with Active Mode ', 'High performance optics with 4 aspherical surfaces ', '35 mm equivalent focal length: 27–300 mm ']",E-mount,Lenses
SEL30M35,"Rs. 25,4901",4.5,17.0,"['https://www.sony.co.in/image/29cc3abbce5a3b17571c44195424e731?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/a02387e8a6d2cb3491e52295f0e68c79?fmt=png-alpha&wid=676&hei=400']",E 30 mm F3.5 Macro,https://www.sony.co.in/electronics/camera-lenses/sel30m35/buy,"{'Minimum focus distance': '0.095 m (0.32 ft)', 'Maximum Magnification ratio (x)': '1.0x', 'Filter Diameter (mm)': '49 mm', 'Weight': '138 g (4 7/8 oz)'}","['Light, compact macro lens delivering high image quality ', 'Ideal for close-ups of flowers, insects and more ', '1:1 magnification ratio for frame-filling close-ups ', '9.5 cm minimum working distance from image sensor to subject ', 'Features aspherical lens elements and ED glass ']",E-mount,Lenses
SEL14TC,"Rs. 49,9901",4.5,16.0,"['https://www.sony.co.in/image/9dbfb92275befb1c8b47b6fbf02533c7?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/77d47220c79d7e9e1e93f75c54cd4eed?fmt=png-alpha&wid=676&hei=400']",1.4x Teleconverter Lens,https://www.sony.co.in/electronics/camera-lenses/sel14tc/buy,{'Weight': '167 g'},"['Extends focal length of lens by 1.4x ', 'Increase focal length without degrading resolution ', 'A handy tool for minimising gear ', 'Compatible with a range of lenses ', 'Compact alternative to bulky additional lenses ']",E-mount,Lenses
SELP1650,"Rs. 22,2901",4.0,73.0,['https://www.sony.co.in/image/df16a7cf5aaf8ccf299bbaf6543f6ae3?fmt=png-alpha&wid=676&hei=400'],E PZ 16-50 mm F3.5-5.6 OSS,https://www.sony.co.in/electronics/camera-lenses/selp1650/buy,"{'Minimum focus distance': '0.25–0.3 m (0.82-1 ft)', 'Maximum Magnification ratio (x)': '0.215x', 'Filter Diameter (mm)': '40.5 mm', 'Weight': '116 g (4.1 oz)'}","['Exceptionally smooth powered zoom ', 'Less than 30 mm long when retracted ', 'Built-in OSS (Optical SteadyShot™) image stabilisation ', 'Aspherical lens elements and ED glass ', '35 mm equivalent focal length: 24-75 mm ']",E-mount,Lenses
SEL50F18,"Rs. 25,9901",5.0,29.0,[],E 50 mm F1.8 OSS,,"{'Minimum focus distance': '0.39 m (1.28 ft)', 'Maximum Magnification ratio (x)': '0.16x', 'Filter Diameter (mm)': '49 mm', 'Weight': '202 g (7.2 oz)'}","['50 mm fixed focal length, ideal for portraits ', 'F1.8 maximum aperture for low-light shots ', 'Stylish and light with a high quality finish ', 'Built-in Optical SteadyShot™ image stabilisation ', '7-blade circular aperture for beautiful defocus effects ']",E-mount,Lenses
