name,price,rating,review_count,images,highlights,specification,features,sub_category,category
ECM-W3S,,,,"['https://www.sony.co.in/image/daabfe2763b307deba6e0851663c4e18?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/39e0fc9c93e2fa68f6db240148c126ba?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/0fb6c121ed74fdd1719c5a095f6e77cd?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-W3S Wireless Microphone,[],"['High-quality digital sound recording ', 'Outstanding single-channel digital sound transmission ', 'Cable-free convenience with wireless transmission and Multi Interface (MI) Shoe ', 'Compact, lightweight, highly portable and ideal for vlogging ', 'Versatile with many types of connectivity ']",Microphones,Camera Accessories
ECM-S1,,,,"['https://www.sony.co.in/image/314f3aa7adf86a195e63e1e3ac89d4f4?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/aa2d3d6d422b90f1f4f1df5b0220230d?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3f178eb5ffde258c1250631ebaea1746?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-S1 Streaming Microphone,[],"['High-quality sound with minimal delay from a portable streaming microphone ', 'Compact, lightweight, easy to carry and to operate either indoors or outdoors ', 'Both wired and wireless connections, allowing connectivity with many devices ', 'Wireless distribution with low latency and superb digital sound quality ', 'High-quality microphone capsules and noise-cut filter for superb sound quality ']",Microphones,Camera Accessories
ECM-GZ1M,"Rs. 7,2901",2.0,1.0,['https://www.sony.co.in/image/922e21848fc7742094662634fbe6f00b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],Gun zoom microphone,[],"['Powered and controlled by your camera ', 'Zoom mic mode adjusts audio range to match video zoom position. Mono microphone only ', 'Gun mic mode lets you target and record sound in a specific direction ', 'Attaches easily to camera with an Active Interface shoe ', 'Compatibility information: Go to Support Page']",Microphones,Camera Accessories
XLR-K3M,"Rs. 49,9901",5.0,1.0,"['https://www.sony.co.in/image/2a50b6af8b1ce08710cb31b8ece83750?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/80d5b5abdcd5e203d14f860e38e1ec30?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/e9cdcdb62f396a25ed435569ec24ff2b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",XLR Adapter Kit,[],"['Compact, lightweight design weighing just 187 g (6.6 oz) ', 'Two Phantom-power capable XLR/TRS inputs ', 'Standard 3.5-mm microphone input with plug-in power ', 'Digital-interface compatible Multi Interface Shoe for clear sound ', 'Comprehensive manual control and flexible rigging for professional use ']",Microphones,Camera Accessories
GP-VPT2BT,"Rs. 10,5901",5.0,9.0,"['https://www.sony.co.in/image/0e4c3fb8c9df7277bda16b045d2a616c?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/2a977797386da41f34bf45df7c8d1317?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/10eeffacb1bbaa65e12359c2b4d8e49a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",Shooting Grip With Wireless Remote Commander,"['Dimensions (W x H x D): [Grip] Approx. 49.5 × 173.0 × 42.0 mm (2 × 6-7/8 × 1-11/16) ', 'Dimensions (W x H x D): [Tripod] Approx. 146.5 × 133.5 × 163.0 mm (5-7/8 × 5-3/8 × 6-1/2) ', 'Weight: [Black] 215 g (7.6 oz), [White] 4 186 g (6.6 oz) ', 'Maximum load: 1.5 kg (53.0 oz) ', 'Tilting angle: [Grip] Up: 80 degrees, Down: 90 degrees; [Tripod] Up: 40 degrees, Down: 90 degrees ']",[],Tripods & Shooting Grips,Camera Accessories
RMT-DSLR2,"Rs. 2,6901",4.5,8.0,['https://www.sony.co.in/image/1f6a8d9e7fca6f7e5cfff09287ec7064?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],RMT-DSLR2 Wireless Remote Commander,[],"[""FeaturesDesigned for SLT and Compact System Cameras (NEX)Compatible with a range of NEX and SLT cameras so you can take control of photo and movie composition from a distanceStop and start the movie actionWith wireless controls to stop and start movies you can direct the action while your camera stays in the perfect shooting positionPerfect for self-portraits and wildlife shotsWith a wireless infrared connection you can release the shutter when you're in the shot or hidden away from the cameraTotally avoid camera shakeWith the remote commander, you can remotely and accurately release the shutter without touching your cameraCapture different types of imageSelf-portraits are simple, and long-exposure shots are possible with the remote two-second shutter releaseView images and control settings remotelyYou'll find it a handy way to watch slideshows, movies and adjust settings without touching your camera""]",Tripods & Shooting Grips,Camera Accessories
RMT-P1BT,"Rs. 5,2901",4.5,7.0,"['https://www.sony.co.in/image/d89c0b2bce8c93e975e56a84cc07d7a7?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9c376c456e35318f208ca15d96062faf?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/579a84fe594d31b6d3d04b368d03808f?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None]",Remote Commander,"['Dimensions (W × H × D): Approx. 33 x 116.5 x 15.1 mm (1 5/16 x 4 5/8 x 5/8) ', 'Weight: Approx. 35 g (1.3 oz) without the battery ', 'Communication: Bluetooth Standard Ver. 4.2 (2.4 GHz band) ', 'Coverage: 360°, Range: 5 m (16.4 ft) ', 'Dust and Moisture Resistance2 ']",[],Tripods & Shooting Grips,Camera Accessories
RMT-DSLR2,"Rs. 2,6901",4.5,8.0,['https://www.sony.co.in/image/1f6a8d9e7fca6f7e5cfff09287ec7064?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],RMT-DSLR2 Wireless Remote Commander,[],"[""FeaturesDesigned for SLT and Compact System Cameras (NEX)Compatible with a range of NEX and SLT cameras so you can take control of photo and movie composition from a distanceStop and start the movie actionWith wireless controls to stop and start movies you can direct the action while your camera stays in the perfect shooting positionPerfect for self-portraits and wildlife shotsWith a wireless infrared connection you can release the shutter when you're in the shot or hidden away from the cameraTotally avoid camera shakeWith the remote commander, you can remotely and accurately release the shutter without touching your cameraCapture different types of imageSelf-portraits are simple, and long-exposure shots are possible with the remote two-second shutter releaseView images and control settings remotelyYou'll find it a handy way to watch slideshows, movies and adjust settings without touching your camera""]",Remote Control,Camera Accessories
RMT-P1BT,"Rs. 5,2901",4.5,7.0,"['https://www.sony.co.in/image/d89c0b2bce8c93e975e56a84cc07d7a7?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9c376c456e35318f208ca15d96062faf?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/579a84fe594d31b6d3d04b368d03808f?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None]",Remote Commander,"['Dimensions (W × H × D): Approx. 33 x 116.5 x 15.1 mm (1 5/16 x 4 5/8 x 5/8) ', 'Weight: Approx. 35 g (1.3 oz) without the battery ', 'Communication: Bluetooth Standard Ver. 4.2 (2.4 GHz band) ', 'Coverage: 360°, Range: 5 m (16.4 ft) ', 'Dust and Moisture Resistance2 ']",[],Remote Control,Camera Accessories
SEL075UWC,"Rs. 20,4901",4.5,4.0,"['https://www.sony.co.in/image/023eb336f8acbd953831f9aaa4d48fb8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9614593ba5eef99fca470506579d72f6?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/41d5bcd23b7a4d3188f66dbc442aa88e?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None]",Ultra-Wide Converter,"{'Minimum focus distance': '0.24 m (AF)/0.20 m (MF) (0.79 ft [AF]/0.66 ft [MF]) (With SEL28F20)', 'Maximum Magnification ratio (x)': '0.15x (AF)/0.20x (MF) (With SEL28F20)', 'Weight': '267 g (9.5 oz)'}","['Converter for FE 28 mm F2 lens, providing 21 mm angle of view 3 ', 'Dedicated optics and visually matching design ', 'Easy-to-attach bayonet mechanism lock for a quick fit ', 'Automatic detection for EXIF data generation ', 'Dust and moisture resistant design ']",Mount Adaptors,Camera Accessories
LA-EA5,"Rs. 19,4901",5.0,5.0,"['https://www.sony.co.in/image/613c417b7f8d278f160c17ecd5f3b3d6?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/357a301871376fb5939e0ce054b0bcd8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/e0543d4db31816826c2c7120854e4afe?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None]",LA-EA5 35-mm Full-Frame A-Mount Adapter,{},"['Dimensions dia. × length: Approx. 66.0 x 31.7 mm (2.6 x 1.25) ', 'Weight: Approx. 88 g (3.10 oz) ', 'Compatibility information: Go to Support Page']",Mount Adaptors,Camera Accessories
SEL057FEC,"Rs. 23,4901",5.0,1.0,"['https://www.sony.co.in/image/78366cecf7e71290f760b3625885fcbb?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/4176164caa20d15ed5ba764509a84bc2?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/d389521093d661696a46507e1cf50637?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None]",Fisheye Converter,"{'Minimum focus distance': '0.22 m (0.73 ft) (With SEL28F20)', 'Maximum Magnification ratio (x)': '0.14x (With SEL28F20)', 'Weight': '418 g (14.8 oz)'}","['Converter for FE 28 mm F2 lens, providing 16 mm angle of view 2 ', 'Dedicated optics and visually matching design ', 'Easy-to-attach bayonet mechanism lock for a quick fit ', 'Automatic detection for EXIF data generation ', 'Dust and moisture resistant design ']",Mount Adaptors,Camera Accessories
